Employee ID,First Name,Last Name,Department,Designation,Joining Date,Email,Phone Number,Office Location,Salary,Reporting Manager,Performance Rating,Years of Experience,Education,Emergency Contact
EMP315365,Ethan,Oak,Operations,Team Lead,06-07-2024,ethan.oak@company.com,9785883692,Bokaro,INR 1854697,Omya Walia,3,11,M.Tech,9353041753
EMP793002,Damyanti,Divan,HR,Senior Executive,17-12-2023,damyanti.divan@company.com,9204119807,Raebareli,INR 662642,Eta Garde,4,17,B.Sc,9678441884
EMP901600,Gabriel,Palla,HR,Junior Executive,02-10-2022,gabriel.palla@company.com,9689376605,Muzaffarnagar,INR 1315373,Aarush Pillai,2,15,MBA,9840496065
EMP601761,Jagvi,Sodhi,Finance,Associate,16-05-2021,jagvi.sodhi@company.com,9471291489,Jabalpur,INR 1040316,Avni Devi,3,11,B.Sc,9829695916
EMP342508,Sarthak,Karnik,IT,Manager,27-02-2020,sarthak.karnik@company.com,9803466495,Bidar,INR 1561201,Pallavi Bajwa,2,13,B.Tech,9458060549
EMP034528,Abhiram,Prabhu,Operations,Manager,17-07-2023,abhiram.prabhu@company.com,9271494006,Nagaon,INR 576287,Zinal Mander,2,0,B.Sc,9952029486
EMP903001,Qushi,Prabhu,Marketing,Senior Executive,15-11-2024,qushi.prabhu@company.com,9119955463,Dhanbad,INR 712555,Urvi Setty,4,6,B.Com,9114296051
EMP872808,Barkha,Som,Operations,Associate,06-02-2021,barkha.som@company.com,9103899447,Muzaffarnagar,INR 1635814,Anirudh Bora,3,5,M.Tech,9032242450
EMP194039,Hiral,Krishna,IT,Manager,16-02-2022,hiral.krishna@company.com,9566378772,Gwalior,INR 1139777,Yamini Suresh,3,12,MBA,9449878724
EMP077364,Laban,Sastry,Operations,Manager,10-08-2023,laban.sastry@company.com,9561763032,Bhiwani,INR 641203,Adya Tiwari,4,6,B.Tech,9276434425
EMP214005,Arin,Bera,IT,Senior Executive,08-02-2022,arin.bera@company.com,9726146767,Mumbai,INR 1270812,Isaiah Lalla,2,20,B.Com,9108417498
EMP272412,Oscar,Batra,Finance,Senior Executive,22-05-2024,oscar.batra@company.com,9713262370,Jamshedpur,INR 301667,Darsh Bahri,4,2,M.Tech,9100785956
EMP208269,Abeer,Guha,IT,Junior Executive,14-12-2021,abeer.guha@company.com,9386054573,Raurkela Industrial Township,INR 1965680,Anya Bandi,3,11,MBA,9805484055
EMP116597,Rushil,Bhatnagar,IT,Associate,26-02-2023,rushil.bhatnagar@company.com,9008104416,Gulbarga,INR 1351270,Yashvi Sagar,5,14,B.Sc,9676327930
EMP836453,Vamakshi,Datta,HR,Manager,16-02-2025,vamakshi.datta@company.com,9706880042,Bihar Sharif,INR 1705977,Qabil Viswanathan,2,16,B.Tech,9859798225
EMP084169,Rajeshri,Chauhan,HR,Associate,14-10-2020,rajeshri.chauhan@company.com,9013984324,Noida,INR 950273,Yashoda Magar,2,1,B.Tech,9259017722
EMP453558,Nandini,Dhar,IT,Associate,20-01-2024,nandini.dhar@company.com,9330849162,Ajmer,INR 1489277,Urvashi Dugar,5,17,B.Sc,9078311963
EMP613317,Upasna,Wason,Finance,Team Lead,08-09-2022,upasna.wason@company.com,9264307060,Khandwa,INR 724942,Yagnesh Khatri,4,6,B.Tech,9643899131
EMP206801,Udarsh,Bava,HR,Team Lead,26-07-2023,udarsh.bava@company.com,9016035435,Noida,INR 620602,Reyansh Chaudhari,5,11,B.Tech,9187655191
EMP508039,Devika,Mukhopadhyay,IT,Team Lead,21-03-2020,devika.mukhopadhyay@company.com,9105084638,Aurangabad,INR 1747039,Oni Kashyap,5,5,B.Tech,9821394731
