Vendor ID,Company Name,Vendor Type,GST Number,Contact Person,Email,Phone Number,Address,Bank Account,Payment Terms,Contract Start Date,Annual Contract Value,Service Rating,Last Transaction Date,Primary Location
VEN254357,"Borah, Magar and Bora",Supplier,98NN838800,Nidra Lal,"contact@borah,magarandbora.com",9106483754,"11, Bandi Chowk, Dhanbad-138336",917201874084,Net 30,07-01-2024,INR 11112237,1,08-12-2024,Kollam
VEN319099,"Memon, Dhawan and Majumdar",Consultant,54AQ007881,Wahab Narayanan,"contact@memon,dhawanandmajumdar.com",9162925979,"82, Kohli Circle, Karnal-170917",172838491814,Net 60,05-06-2024,INR 39266933,2,02-04-2024,Phusro
VEN420540,Prashad-Tripathi,Consultant,35LB819008,Reyansh Ravi,contact@prashad-tripathi.com,9782769579,"75, Lall Street, Vadodara 229863",750387730330,Net 30,27-06-2024,INR 6429685,4,13-12-2024,Satna
VEN121250,Tella PLC,Contractor,12SB480069,Nihal Seth,contact@tellaplc.com,9849783600,"381, Gera Nagar, Saharsa 522461",831174308817,Net 60,29-07-2023,INR 12754314,1,30-11-2024,Kalyan-Dombivli
VEN514646,Dara LLC,Contractor,92RU467941,Lajita Varghese,contact@darallc.com,9634261598,"31/753, Natarajan Nagar, Vijayawada 215301",990051118887,Net 60,15-06-2023,INR 6139510,2,26-08-2024,Morbi
VEN579618,Krish-Sarna,Contractor,19EA825473,Raghav Misra,contact@krish-sarna.com,9375636674,"32/928, Mammen Street, Surat-748310",435395580189,Net 60,09-05-2024,INR 21528617,2,17-08-2024,Davanagere
VEN155328,Balasubramanian-Kalita,Contractor,69PI074669,Simon Ravel,contact@balasubramanian-kalita.com,9356892483,"10/067, Sant, Ambattur 791365",238201659900,Net 45,03-10-2024,INR 46828643,3,22-05-2024,Indore
VEN915880,"Raman, Toor and Bala",Consultant,84UA564752,Azaan Krishna,"contact@raman,toorandbala.com",9000878430,"903, Mangat Nagar, Mahbubnagar 959130",494851341250,Net 45,15-08-2024,INR 24704086,3,21-10-2024,Aizawl
VEN594968,"Lala, Kapoor and Butala",Service Provider,29AQ405652,Daniel Sekhon,"contact@lala,kapoorandbutala.com",9873441499,"45, Mital Marg, Vellore 867225",732088096994,Net 60,09-12-2023,INR 21745270,3,01-10-2024,Ranchi
VEN937342,"Sachdev, Tella and Choudhury",Supplier,78FZ792942,Kavya Ghose,"contact@sachdev,tellaandchoudhury.com",9654071330,"16, Boase, Dhanbad-402583",843063829200,Net 45,04-10-2023,INR 175681,4,19-05-2024,Haldia
VEN780465,"Bhattacharyya, Om and Kari",Supplier,60KY067680,Sathvik Jain,"contact@bhattacharyya,omandkari.com",9332453098,"H.No. 300, Krishna, Nanded-437957",332533929340,Net 30,16-02-2025,INR 35464713,1,15-11-2024,Serampore
VEN083548,"Dubey, Singh and Vohra",Contractor,13ZD386813,Idika Choudhry,"contact@dubey,singhandvohra.com",9029297878,"03, Sanghvi Path, Madanapalle 575427",881926250768,Advance,15-08-2024,INR 24463035,4,09-09-2024,Aligarh
VEN789759,"Doctor, Contractor and Varty",Contractor,29UG738400,Ria Mandal,"contact@doctor,contractorandvarty.com",9543910877,"702, Nayar Street, Karawal Nagar 462440",648439482798,Advance,24-01-2025,INR 8337317,2,28-01-2025,Vijayanagaram
VEN647733,Parekh Ltd,Supplier,97YJ076187,Turvi Prakash,contact@parekhltd.com,9450061032,"07/87, Acharya Zila, Raichur-336137",133462475656,Net 45,30-09-2024,INR 5583957,4,10-04-2024,Jodhpur
VEN499318,Walla LLC,Supplier,11AF755996,Lopa Bedi,contact@wallallc.com,9757393598,"214, Din Circle, Rewa 630905",844468285448,Net 60,01-05-2023,INR 3077571,2,17-01-2025,Sasaram
VEN804840,Sundaram-Chopra,Contractor,09NW811411,Andrew Salvi,contact@sundaram-chopra.com,9999307477,"48, Sha Path, Tadipatri 660609",169183020389,Net 60,01-01-2024,INR 233235,2,15-08-2024,Ongole
VEN584025,"Sathe, Om and Jani",Service Provider,65SH436966,Gavin Kala,"contact@sathe,omandjani.com",9681869190,"28, Uppal, Kalyan-Dombivli-479348",353009832489,Net 45,06-09-2024,INR 9737038,2,19-06-2024,Karaikudi
VEN358223,"Nadig, Tandon and Choudhury",Service Provider,84ZM957323,Zilmil Chadha,"contact@nadig,tandonandchoudhury.com",9145745500,"603, Dubey Ganj, Adoni 958136",154214958325,Advance,19-11-2024,INR 19983687,2,06-08-2024,Noida
VEN123448,"Shan, Issac and Chakraborty",Contractor,93HI600732,Chavvi Som,"contact@shan,issacandchakraborty.com",9729590409,"241, Prakash, Parbhani-144202",513635674825,Net 60,09-07-2024,INR 14757009,2,03-05-2024,Phusro
VEN596998,"Malhotra, Date and Saraf",Service Provider,89QD463784,Banjeet Bail,"contact@malhotra,dateandsaraf.com",9839963172,"H.No. 054, Chand Chowk, Saharsa 249000",400342907116,Net 60,07-07-2023,INR 15878144,4,01-10-2024,Anantapur
VEN377754,"Iyer, Boase and Sodhi",Service Provider,78MB651073,Unnati Choudhry,"contact@iyer,boaseandsodhi.com",9083616420,"50/358, Chad Marg, Bhilwara-781591",720000117392,Net 30,17-05-2024,INR 3498673,5,11-08-2024,Chittoor
VEN626481,"Chaudhary, Chand and Joshi",Supplier,00TN958736,Gautam Minhas,"contact@chaudhary,chandandjoshi.com",9398362200,"054, Ghosh Path, Arrah 170359",510530438782,Net 45,25-03-2024,INR 1036173,3,27-12-2024,Pune
VEN672032,"Dube, Sangha and Goel",Contractor,05WE956498,Zaitra Sachdev,"contact@dube,sanghaandgoel.com",9410083803,"39/957, Chad Nagar, Hyderabad 021937",349708931664,Net 45,05-04-2023,INR 42277555,5,24-05-2024,Aizawl
VEN960184,Datta-Krish,Supplier,54QA123335,Yatin Bawa,contact@datta-krish.com,9005672639,"55/73, Gandhi Marg, Farrukhabad 818603",918710554364,Net 45,17-11-2023,INR 40984764,2,07-08-2024,Ramgarh
VEN795260,Lala-Choudhry,Supplier,07FU728342,Varsha Ranganathan,contact@lala-choudhry.com,9247382729,"759, Bhattacharyya Chowk, Meerut-296962",945124230703,Net 60,11-08-2023,INR 45536348,4,16-05-2024,Ramgarh
VEN865911,Nair-Shetty,Service Provider,74XU622263,Fariq Chada,contact@nair-shetty.com,9135959091,"922, Master, Kozhikode-018769",395020158834,Net 30,09-01-2025,INR 2165737,2,09-11-2024,Karnal
